Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
SBI PSU Fund,3071.3,1.96,2,0.9,3,-3.35,3,4.02,2,11.71,2,33.44,2,61.18,3,61.49,3,95.68,1,64.9,2,39.31,3,24.92,2,16.39,2,12.49,2,12.25,2,-,-,-,-,8.93,-,34.2,2
BSE PSU Total Return Index,,2.2,,1.13,,-4.31,,5.67,,13.01,,38.16,,73.75,,73.78,,103.65,,70.49,,45.84,,27.16,,19.05,,13.33,,12.81,,9.68,,12.6,,,,39.69,
BSE PSU Index,,2.1,,1.01,,-4.51,,5.17,,12.48,,36.53,,69.79,,69.82,,97.34,,64.47,,40.2,,22.22,,14.78,,9.46,,9.29,,6.6,,10.18,,,,38.04,
NIFTY PSE Index,,3.27,,1.97,,-3.92,,6.03,,14.27,,37.15,,83.01,,81.72,,112.91,,70.43,,44.53,,24.36,,16.18,,11.06,,11.47,,7.7,,11.11,,,,38.61,
NIFTY PSE Total Return Index,,3.32,,2.01,,-3.87,,6.08,,14.32,,38.32,,85.57,,84.26,,117.2,,73.62,,48.91,,28.34,,20.11,,14.81,,15.13,,10.8,,13.67,,,,39.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make in India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,3,,3,,3,,3,,2,,2,,1,,,,,,,,,,4,,4
Peer Average,,2.07,,2.5,,5.74,,13.36,,17.12,,31.81,,47.44,,46.64,,58.89,,40.99,,25.45,,24.06,,13.61,,,,,,,,,,,,31.67,
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,1005.6,2.03,3,2.55,1,6.26,1,10.98,4,15.77,4,24.78,4,41.48,3,40.99,3,51.31,3,35.73,3,18.38,2,20.34,2,13.61,1,-,-,-,-,-,-,-,-,13.22,-,24.83,4
Axis India Manufacturing Fund - Regular Plan,5193.03,2.17,1,2.47,4,5.3,4,15.47,1,19.48,1,38.06,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.1,-,38.2,1
ICICI Prudential Manufacturing Fund,4841.52,2.12,2,2.5,2,5.35,3,13.54,2,16.21,3,33.31,2,56.17,1,55.16,1,70.42,1,49.5,1,32.52,1,27.78,1,-,-,-,-,-,-,-,-,-,-,25.08,-,33.36,2
Kotak Manufacture in India Fund - Regular Plan,2098.36,1.98,4,2.49,3,6.05,2,13.46,3,17.03,2,31.1,3,44.66,2,43.76,2,54.93,2,37.74,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.36,-,30.31,3
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
BSE 500 Index,,1.85,,2.8,,4.78,,9.12,,10.83,,17.88,,32.02,,31.7,,37.61,,29.92,,18.82,,18.47,,15.3,,13.75,,15.02,,13.15,,15.67,,,,17.5,
BSE India Manufacturing Index,,1.92,,1.44,,1.25,,5.23,,5.99,,16.2,,32.73,,31.54,,38.37,,33.3,,21.03,,19.06,,14.2,,-,,-,,-,,-,,,,15.96,
BSE India Manufacturing Total Return Index,,1.93,,1.58,,1.64,,5.65,,6.41,,17.12,,34.83,,33.62,,41.27,,36.6,,23.97,,21.84,,16.63,,14.43,,16.44,,15.29,,-,,,,16.88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,2,,1,,1,,1,,1,,1,,4,,4
Peer Average,,1.28,,2.54,,6.65,,10.4,,13.76,,24.5,,39.11,,38.95,,51.17,,38.15,,23.67,,25.64,,20.16,,18.69,,19.47,,16.43,,18.55,,,,24.24,
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,714.83,1.49,2,2.43,3,6.67,2,9.08,3,12.14,3,19.66,3,33.05,3,32.82,3,42.97,3,30.53,3,18.48,3,-,-,-,-,-,-,-,-,-,-,-,-,25.56,-,19.47,3
Axis Innovation Fund - Regular Plan,1208.96,1.59,1,2.46,2,7.9,1,11.39,2,12.72,2,25.17,2,35.09,2,34.89,2,38.01,4,28.25,4,15.79,4,-,-,-,-,-,-,-,-,-,-,-,-,17.95,-,24.39,2
Franklin India Opportunities Fund,3933.36,0.6,4,2.87,1,6.48,3,12.91,1,21,1,34.45,1,56.43,1,57.18,1,77.39,1,54.93,1,30.95,1,26.59,1,20.16,1,18.69,1,19.47,1,16.43,1,18.55,1,14.03,-,34.36,1
ICICI Prudential India Opportunities Fund,19792.23,1.43,3,2.41,4,5.56,4,8.22,4,9.19,4,18.72,4,31.85,4,30.9,4,46.33,2,38.87,2,29.43,2,24.7,2,-,-,-,-,-,-,-,-,-,-,24.16,-,18.72,4
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharma & Healthcare Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,8,,7,,4,,3,,3,,3,,3,,8,,8
Peer Average,,1.84,,0.99,,5.64,,4.44,,4.58,,13.27,,29.44,,28.94,,44.39,,30.95,,14.05,,26.35,,17.19,,14.66,,17.28,,19.07,,18.04,,,,16.41,
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,683.18,1.26,8,-0.15,8,4.16,7,2.98,8,2.94,8,12.43,7,28.52,5,27.98,6,44.04,4,29.03,7,12.63,7,-,-,-,-,-,-,-,-,-,-,-,-,22.32,-,15.67,6
DSP Healthcare Fund - Regular Plan,2363.39,2.96,1,1.6,2,6.66,1,3.78,6,3.95,6,12.62,6,29.45,3,29.22,3,42.94,6,32.12,3,15.18,3,28.01,1,-,-,-,-,-,-,-,-,-,-,24.43,-,14.8,7
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund,3925.29,1.94,3,1.78,1,6.05,4,5.98,1,6.26,1,16.8,1,34.42,1,33.81,1,50.55,1,34.18,1,16.18,1,27.44,2,-,-,-,-,-,-,-,-,-,-,21.86,-,20.38,1
Mirae Asset Healthcare Fund - Regular Plan,2201.96,2.27,2,1.36,3,6.06,3,4.97,3,5.04,3,12.9,4,27.27,8,26.35,8,42.95,5,27.55,8,12.97,6,26.83,4,-,-,-,-,-,-,-,-,-,-,21.96,-,16,4
Nippon India Pharma Fund,7160.93,1.26,7,0.34,7,3.85,8,4.25,5,3.98,5,10.66,8,27.82,7,27.36,7,42.58,7,30.51,5,13.11,5,25.9,5,19.49,1,16.26,1,18.42,1,20.88,1,20.91,1,20.85,-,14.14,8
SBI Healthcare Opportunities Fund,2612.73,1.46,6,0.91,6,5.97,5,3.72,7,3.92,7,13.99,3,28.09,6,28.15,4,40.43,8,33.86,2,15.3,2,26.91,3,16.16,3,14.48,2,17.81,2,19.05,2,17.4,2,16.6,-,17.18,3
Tata India Pharma & Healthcare Fund - Regular Plan,899.17,1.78,5,1.14,4,5.79,6,4.32,4,4.85,4,14.09,2,31.37,2,30.55,2,46.23,2,30.54,4,14.75,4,24.89,6,17.16,2,-,-,-,-,-,-,-,-,12.13,-,17.21,2
UTI Healthcare Fund - Regular Plan,938.43,1.78,4,0.97,5,6.55,2,5.56,2,5.73,2,12.67,5,28.61,4,28.1,5,45.41,3,29.84,6,12.29,8,24.47,7,15.94,4,13.23,3,15.62,3,17.28,3,15.8,3,14.75,-,15.93,5
BSE Healthcare Total Return Index,,2.02,,1.62,,7.17,,5.25,,5.61,,15.48,,31.97,,31.65,,46.99,,31.96,,13.62,,24.53,,15.59,,12.97,,15.85,,17.57,,16.04,,,,18.88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,12,,3,,14,,14
Peer Average,,1.73,,3,,3.72,,13.66,,18.39,,35.25,,54.77,,55.25,,73.77,,55.13,,35.65,,26.76,,19.45,,17.27,,18.04,,13.69,,18.39,,,,35.28,
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,1146.32,1.47,11,2.67,10,1.77,12,11.48,10,15.34,10,30.43,11,43.11,14,44.13,14,62.29,13,53.1,10,30.25,12,24.63,11,16.89,12,15.49,12,17.58,8,14.13,5,-,-,13.37,-,30.96,10
Bandhan Infrastructure Fund - Regular Plan,1342.96,2.85,1,4.56,1,6.71,1,19.1,1,23.81,2,49.03,1,69.99,1,70.97,1,90.83,1,63.25,2,36.62,7,28.7,4,19.41,9,18.03,6,16.81,11,-,-,-,-,13.75,-,49.91,1
DSP India T.I.G.E.R. Fund - Regular Plan,4385.95,2.09,3,3.59,2,3.66,7,14.62,6,22.85,3,38.25,5,58.74,4,58.91,4,81.57,4,58.47,4,38.08,4,28.42,5,21.22,3,18.47,4,19.39,4,15.47,3,19.11,2,19.15,-,38.57,5
Franklin Build India Fund,2530.26,0.81,14,3,8,2.35,11,10.32,13,16.57,9,32.96,8,54.79,7,54.92,7,78.51,6,56.55,5,36.17,9,27.04,8,21.21,4,21.13,1,23.49,1,-,-,-,-,19.71,-,33.5,8
HDFC Infrastructure Fund,2054.8,1.59,9,2.54,11,4.58,4,10.45,12,15.29,11,29.3,12,52.03,10,52.93,8,78.54,5,60.33,3,38.89,3,22.91,13,14.21,14,12.38,14,14.16,14,12,10,-,-,10.23,-,29.83,12
HSBC Infrastructure Fund,2620.55,2.02,5,3.11,6,3.26,9,18.2,2,24.64,1,38.11,6,52.5,9,52.91,9,72.01,8,56.38,6,36.57,8,26.6,10,18.69,10,17.8,7,18.59,5,13.94,7,-,-,10.36,-,36.74,7
ICICI Prudential Infrastructure Fund,5034.14,1.67,8,2.84,9,3.39,8,9.65,14,13.36,14,31.75,9,53.03,8,52.77,10,68.55,9,55.56,7,40.39,1,28.84,3,21.59,2,17.31,9,18.49,6,14.65,4,-,-,16.98,-,32.09,9
Invesco India Infrastructure Fund,1470.37,2.06,4,2.07,14,3.03,10,16.65,3,21.35,5,40.7,2,64.3,2,65.21,2,84.02,2,55.52,8,36.06,10,30.97,1,23.22,1,19.39,2,21,2,16.84,1,-,-,12.26,-,40.35,2
Kotak Infrastructure and Economic Reform Fund - Standard Plan,1989.53,1.78,7,3.13,5,6.35,2,16.16,4,22.72,4,39.94,3,55.39,6,55.76,6,66.26,11,51.77,11,37.01,5,27.75,7,19.96,8,18.7,3,19.75,3,16.62,2,-,-,12.79,-,39.82,3
Nippon India Power & Infra Fund,5697.01,1.52,10,3.45,3,4.2,5,14.82,5,18.52,6,37.21,7,60.33,3,60.84,3,83.67,3,64.55,1,40.08,2,29.38,2,21.08,5,16.96,10,17.39,10,12.32,9,19.98,1,19.68,-,36.76,6
SBI Infrastructure Fund,3087.55,1.05,12,2.52,12,6.16,3,11.39,11,14.18,13,28.24,13,50.21,11,50.76,11,68.4,10,50.81,12,34.14,11,26.63,9,20.39,7,17.58,8,17.4,9,12.43,8,-,-,10.31,-,28.67,13
Sundaram Infrastructure Advantage Fund - Regular Plan,998.37,1.93,6,3.38,4,1.21,14,12.1,9,16.69,8,31.05,10,48.85,12,49.01,12,64.01,12,46.35,13,30.02,13,23.5,12,17.33,11,15.97,11,15.29,12,11.11,11,-,-,12.92,-,30.32,11
Tata Infrastructure Fund - Regular Plan,2245.06,2.38,2,3.03,7,4.05,6,13.97,7,17.64,7,38.47,4,56.89,5,57.37,5,74.57,7,53.43,9,36.83,6,27.82,6,20.78,6,18.38,5,17.97,7,13.95,6,-,-,16.64,-,38.67,4
UTI Infrastructure Fund - Regular Plan,2287.67,0.95,13,2.14,13,1.36,13,12.27,8,14.47,12,28.04,14,46.66,13,47.07,13,59.52,14,45.73,14,28,14,21.4,14,16.28,13,14.12,13,15.2,13,10.88,12,16.08,3,14.7,-,27.73,14
NIFTY Infrastructure Total Return Index,,1.4,,2.91,,0.07,,7.44,,8.35,,25.85,,47.34,,47.12,,59.62,,42.98,,29.56,,23.36,,17.82,,11.89,,13.2,,7.71,,13.32,,,,25.57,
NIFTY Infrastructure Index,,1.4,,2.8,,-0.06,,7.3,,8.21,,25.44,,46.66,,46.43,,58.03,,41.69,,28.15,,21.66,,16.05,,10.28,,11.59,,6.31,,11.89,,,,25.17,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
BSE 500 Total Return Index,,1.87,,2.88,,4.96,,9.56,,11.28,,18.57,,33.11,,32.79,,39.26,,31.58,,20.36,,20.01,,16.76,,15.21,,16.55,,14.69,,17.04,,,,18.19,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,5,,2,,,,,,,,6,,6
Peer Average,,0.43,,0.77,,1.54,,2.82,,3.36,,5.95,,9.35,,9.31,,11.84,,11.57,,8.6,,8.28,,7.48,,8.64,,,,,,,,,,5.97,
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,535.67,0.49,2,0.76,3,1.26,5,2.59,5,3.39,4,5.82,4,9.21,4,9.15,4,11.75,4,12.7,2,7.87,5,9.47,2,8.13,3,-,-,-,-,-,-,-,-,8.83,-,5.82,4
Bandhan Equity Savings Fund - Direct Plan,118.67,0.52,1,0.89,2,1.58,3,3,2,3.4,3,5.97,3,9.32,3,9.32,3,11.88,3,10.88,4,8.37,4,8.64,4,7.96,4,7.78,2,-,-,-,-,-,-,7.84,-,5.95,3
Franklin India Equity Savings Fund - Direct Plan,584.73,0.41,4,0.68,6,1.25,6,2.81,4,3.41,2,6.15,2,9.71,2,9.72,2,12.54,2,12.67,3,9.29,2,9.68,1,-,-,-,-,-,-,-,-,-,-,9.13,-,6.13,2
ICICI Prudential Equity Savings Fund - Direct Plan,10278.86,0.32,6,0.68,5,1.92,1,2.87,3,2.87,6,5.05,6,7.95,6,7.9,6,11.36,5,10.37,5,9.04,3,8.69,3,8.51,1,-,-,-,-,-,-,-,-,8.71,-,5.2,6
Nippon India Equity Savings Fund - Direct Plan,447.8,0.43,3,0.91,1,1.55,4,3.08,1,4.04,1,7.3,1,11.34,1,11.25,1,13.39,1,13.36,1,9.38,1,4.69,6,4.54,5,-,-,-,-,-,-,-,-,5.75,-,7.35,1
PGIM India Equity Savings Fund - Direct Plan,92.15,0.4,5,0.68,4,1.67,2,2.59,6,3.04,5,5.4,5,8.54,5,8.53,5,10.14,6,9.45,6,7.63,6,8.51,5,8.26,2,9.5,1,-,-,-,-,-,-,9.23,-,5.36,5
CRISIL Short-Term Bond Index ( 02-Jul-2024 ) ,,0.1,,0.26,,0.62,,1.31,,1.82,,3.87,,5.59,,5.62,,7.33,,7.23,,5.8,,6.86,,6.85,,7.52,,7.78,,7.49,,7.29,,,,3.86,
NIFTY Equity Savings Total Return Index,,0.7,,1.32,,2.12,,3.99,,4.4,,7.4,,12.65,,12.5,,14.67,,13.58,,9.88,,10.16,,9.73,,9.31,,10.02,,9.37,,-,,,,7.15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resurgent Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peer Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE 200 Total Return Index,,1.86,,2.83,,4.29,,9.09,,10.45,,17.89,,32.13,,31.65,,36.74,,29.99,,19.64,,19.21,,16.61,,14.97,,16.32,,14.45,,16.81,,,,17.34,
BSE 200 Index,,1.83,,2.75,,4.09,,8.61,,9.96,,17.14,,30.96,,30.48,,35.05,,28.28,,18.06,,17.66,,15.12,,13.47,,14.76,,12.9,,15.42,,,,16.59,
NIFTY 200 Index,,1.79,,2.8,,4.2,,8.59,,9.97,,16.96,,31.15,,30.71,,35.15,,28.56,,18.13,,17.35,,14.87,,13.22,,14.6,,12.66,,15.13,,,,16.43,
NIFTY 200 Total Return Index,,1.81,,2.86,,4.36,,9.03,,10.42,,17.64,,32.13,,31.68,,36.56,,29.85,,19.41,,18.66,,16.19,,14.57,,16,,14.06,,16.66,,,,17.11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conservative Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,12,,11,,11,,11,,,,,,,,12,,12
Peer Average,,0.49,,0.82,,1.63,,3.44,,4.24,,7.61,,11.84,,11.81,,14.83,,13.29,,10.28,,10.12,,8.8,,9.67,,,,,,,,,,7.55,
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,1386.89,0.5,6,0.86,5,1.68,6,3.61,6,4.48,4,7.11,9,10.62,10,10.62,10,12.86,10,12.21,9,9.89,7,10.11,7,8.35,8,10.34,4,-,-,-,-,-,-,10.77,-,6.86,10
Axis Regular Saver Fund - Direct Plan,330.09,0.47,8,0.79,9,2.23,3,3.92,4,4.08,7,6.47,11,9.67,11,9.7,11,11.35,11,11.02,11,8.09,12,9.75,8,8.17,9,8.69,10,-,-,-,-,-,-,9.22,-,6.11,11
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,646.32,0.56,2,0.92,3,1.6,7,2.99,10,3.92,8,7.61,8,12.29,5,12.34,5,14.67,8,13.1,8,9.42,8,9.42,9,8.95,6,9.6,6,-,-,-,-,-,-,9.79,-,7.51,8
Canara Robeco Conservative Hybrid Fund - Direct Plan,972.98,0.55,3,1.05,1,1.77,5,3.64,5,4.48,5,7.1,10,10.97,9,10.96,9,13.51,9,12.07,10,8.92,11,10.66,5,9.55,4,9.55,7,-,-,-,-,-,-,10.02,-,6.95,9
Franklin India Debt Hybrid Fund - Direct Plan,238.4,0.36,11,0.84,6,1.44,8,3.33,7,4.23,6,7.62,7,12.14,7,12.18,6,15.49,6,13.4,6,9.36,9,9.17,10,8.13,10,9.11,9,-,-,-,-,-,-,9.46,-,7.51,7
HDFC Hybrid Debt Fund - Direct Plan,3182.24,0.48,7,0.81,8,0.95,11,3.16,9,3.92,9,8.07,5,13.12,2,13.06,2,16.66,3,15.29,2,11.39,4,11.08,3,9.27,5,9.8,5,-,-,-,-,-,-,10.29,-,8.12,5
ICICI Prudential Regular Savings Fund - Direct Plan,3337.8,0.47,9,0.84,7,1.98,4,3.31,8,3.89,10,7.79,6,12.16,6,12.05,7,15.07,7,13.2,7,10.8,6,10.75,4,9.87,2,10.76,2,-,-,-,-,-,-,10.93,-,7.83,6
Kotak Debt Hybrid Fund - Direct Plan,2477.8,0.46,10,0.62,11,1.3,9,3.94,3,4.94,3,8.72,2,15.04,1,14.92,1,18.17,2,16.2,1,12.37,1,13.15,1,11.02,1,11.44,1,-,-,-,-,-,-,11.33,-,8.76,2
Nippon India Hybrid Bond Fund - Direct Plan,813.88,0.34,12,0.65,10,1.07,10,2.14,12,2.64,12,5.18,12,8.1,12,8.1,12,10.07,12,10.66,12,8.99,10,5.09,11,5.04,11,6.94,11,-,-,-,-,-,-,7.5,-,5.13,12
Parag Parikh Conservative Hybrid Fund - Direct Plan,1986.62,0.58,1,0.53,12,0.84,12,2.31,11,3.38,11,8.17,4,12.92,4,12.83,4,18.46,1,14.19,4,11.63,2,-,-,-,-,-,-,-,-,-,-,-,-,11.26,-,8.55,3
SBI Conservative Hybrid Fund - Direct Plan,9823.59,0.51,5,0.88,4,2.27,2,4.32,2,5.41,2,8.91,1,12.04,8,11.98,8,15.74,5,14.39,3,11.43,3,11.88,2,9.61,3,10.65,3,-,-,-,-,-,-,10.36,-,8.84,1
UTI Conservative Hybrid Fund - Direct Plan,1588.2,0.54,4,1.01,2,2.38,1,4.66,1,5.5,1,8.62,3,13.06,3,13.01,3,15.85,4,13.71,5,11.08,5,10.3,6,8.81,7,9.53,8,-,-,-,-,-,-,9.99,-,8.42,4
CRISIL Hybrid 85+15 Conservative Index ( 02-Jul-2024 ) ,,0.24,,0.46,,1.68,,2.71,,3.18,,6.44,,9.72,,9.72,,11.66,,11.11,,7.74,,8.97,,8.45,,9.2,,9.35,,8.75,,8.7,,,,6.29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure International Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,1,,4,,4
Peer Average,,0.77,,0.99,,3.1,,3.11,,2.56,,9.78,,19.93,,18.45,,15.47,,12,,-0.94,,7.86,,7.59,,5.31,,7.09,,8.2,,8.22,,,,7.84,
Aditya Birla Sun Life International Equity Fund - Regular Plan,186.86,0.11,4,-0.11,4,-0.47,4,0.55,4,-1.53,4,2.9,4,14.09,4,11.26,4,4.52,4,9.53,2,2.3,2,8.87,2,9.99,2,7.64,2,9.45,1,10.29,1,-,-,7.35,-,1.1,4
Kotak Global Emerging Market - Regular Plan,91.68,0.86,3,0.8,2,3.27,3,2.55,3,3.73,2,10.23,2,17.55,3,15.68,3,14.94,2,8.76,3,-1.9,3,7.39,3,7.08,3,4.45,3,6.61,3,7.75,3,-,-,4.99,-,8.31,2
PGIM India Emerging Markets Equity Fund,99.57,1.03,2,0.75,3,6.3,1,5.69,1,7.31,1,17.53,1,28.66,1,27.43,1,27.65,1,8.46,4,-10.57,4,2.01,4,2.03,4,1.25,4,3.99,4,5.22,4,-,-,2.31,-,14.33,1
Sundaram Global Brand Fund #,114.78,1.08,1,2.51,1,3.32,2,3.67,2,0.73,3,8.44,3,19.42,2,19.42,2,14.77,3,21.25,1,6.41,1,13.17,1,11.23,1,7.91,1,8.31,2,9.55,2,8.22,1,8.37,-,7.62,3
NIFTY 50 Index,,1.75,,3.28,,4.4,,8.06,,8.25,,12.87,,24.36,,23.67,,25.69,,24.06,,15.57,,15.29,,14.14,,12.14,,13.54,,12.01,,14.78,,,,11.76,
NIFTY 50 Total Return Index,,1.76,,3.34,,4.59,,8.65,,8.85,,13.69,,25.48,,24.78,,27.23,,25.48,,16.95,,16.67,,15.55,,13.52,,14.92,,13.38,,16.25,,,,12.57,
BSE Sensex Total Return Index,,1.69,,3.53,,4.84,,8.93,,8.93,,12.95,,23.27,,22.68,,24.25,,24.44,,16.5,,16.36,,15.77,,13.4,,15.04,,13.38,,16.61,,,,11.57,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbitrage Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Total Funds,,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,14,,12,,11,,9,,7,,,,14,,14
Peer Average,,0.16,,0.25,,0.75,,1.4,,1.85,,3.91,,5.77,,5.8,,7.82,,6.86,,5.72,,5.25,,5.52,,5.93,,6.39,,6.47,,,,,,4.13,
